event_date,event_type,old_symbol,new_symbol,old_name,new_name,source_url,notes
1999-06-09,delisting,HPH,,Harnischfeger Industries,,https://en.wikipedia.org/wiki/Joy_Global,Symbol no longer queryable; removed from SP500 on 1999-06-09.
2000-07-27,delisting,RAD,,Rite Aid,,https://en.wikipedia.org/wiki/Rite_Aid,Symbol no longer queryable; removed from SP500 on 2000-07-27.
2000-12-05,delisting,GRA,,WR Grace,,https://en.wikipedia.org/wiki/W._R._Grace_and_Company,Symbol no longer queryable; removed from SP500 on 2000-12-05.
2001-02-27,delisting,FSR,USB,Firstar,U.S. Bancorp,https://en.wikipedia.org/wiki/U.S._Bancorp,Firstar Corporation merged with U.S. Bancorp in 2001; FSR delisted and USB became the combined company ticker.
2003-01-27,delisting,XON,XOM,Exxon Corporation,ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil,Exxon Corporation merged with Mobil Oil in 1999 to form ExxonMobil; XON delisted and XOM became the combined company ticker.
2007-03-30,delisting,TSG,,Sabre Corporation,,https://en.wikipedia.org/wiki/Sabre_Corporation,Symbol no longer queryable; removed from SP500 on 2007-03-30.
2007-08-27,delisting,NLTI,,NTL Incorporated,,https://en.wikipedia.org/wiki/NTL_Incorporated,Symbol no longer queryable; removed from NASDAQ100 on 2007-08-27.
2007-09-26,delisting,FDC,,First Data,,https://en.wikipedia.org/wiki/First_Data,Symbol no longer queryable; removed from SP500 on 2007-09-26.
2007-09-27,delisting,MXIM,,Maxim Integrated Products,,https://en.wikipedia.org/wiki/Maxim_Integrated,Symbol no longer queryable; removed from SP500 on 2007-09-27.
2007-10-01,delisting,NCR,,NCR Corporation,,https://en.wikipedia.org/wiki/NCR_Corporation,Symbol no longer queryable; removed from SP500 on 2007-10-01.
2008-07-01,delisting,CCR,,Countrywide Credit Industries,,https://en.wikipedia.org/wiki/Countrywide_Financial,Symbol no longer queryable; removed from SP500 on 2008-07-01.
2008-12-22,delisting,DISCA,,Discovery Communications Class A,,https://en.wikipedia.org/wiki/Discovery_Inc.,Symbol no longer queryable; removed from NASDAQ100 on 2008-12-22.
2008-12-22,delisting,LEAP,,Leap Wireless International,,https://en.wikipedia.org/wiki/Leap_Wireless_International,Symbol no longer queryable; removed from NASDAQ100 on 2008-12-22.
2009-10-29,delisting,JNPR,,Juniper Networks,,https://en.wikipedia.org/wiki/Juniper_Networks,Symbol no longer queryable; removed from NASDAQ100 on 2009-10-29.
2010-06-30,delisting,STR,,Questar,,https://en.wikipedia.org/wiki/Questar_Corporation,Symbol no longer queryable; removed from SP500 on 2010-06-30.
2010-12-17,delisting,ODP,,Office Depot,,https://en.wikipedia.org/wiki/Office_Depot,Symbol no longer queryable; removed from SP500 on 2010-12-17.
