symbol,name,opt-in,opt-out
SZ000001,平安银行,2005-04-08,
SZ000002,万科Ａ,2005-04-08,
SZ000008,神州高铁,2016-12-12,2018-06-11
SZ000009,中国宝安,2005-04-08,2017-12-11
SZ000012,南玻Ａ,2005-04-08,2014-12-15
SZ000016,G康佳Ａ,2005-04-08,2006-06-22
SZ000021,长城开发,2005-04-08,2013-01-01
SZ000022,深赤湾Ａ,2005-04-08,2007-07-02
SZ000024,招商地产,2005-04-08,2015-12-30
SZ000027,深圳能源,2005-04-08,2012-07-02
SZ000027,深圳能源,2013-07-01,2013-12-16
SZ000027,深圳能源,2014-06-16,2017-06-12
SZ000029,深深房Ａ,2005-04-08,2005-07-01
SZ000029,深深房Ａ,2006-06-22,2008-06-14
SZ000031,中粮地产,2005-04-08,2012-01-01
SZ000036,华联控股,2005-04-08,2008-12-25
SZ000039,中集集团,2005-04-08,2017-06-12
SZ000046,泛海控股,2007-07-02,2011-07-01
SZ000046,泛海控股,2012-07-02,2014-06-16
SZ000046,泛海控股,2015-06-15,2016-12-12
SZ000059,辽通化工,2005-07-01,2013-12-16
SZ000060,中金岭南,2005-04-08,2018-12-17
SZ000061,农产品,2005-04-08,2017-06-12
SZ000063,中兴通讯,2005-04-08,
SZ000066,中国长城,2005-04-08,2008-01-01
SZ000066,中国长城,2020-06-15,2022-12-09
SZ000068,S三星,2005-04-08,2008-01-01
SZ000069,华侨城A,2005-04-08,2024-06-14
SZ000088,盐田港,2005-04-08,2009-07-01
SZ000089,深圳机场,2005-04-08,2011-01-01
SZ000096,广聚能源,2005-04-08,2006-01-01
SZ000099,中信海直,2005-07-01,2007-07-02
SZ000100,TCL集团,2005-04-08,2007-07-02
SZ000100,TCL集团,2008-12-25,
SZ000156,华数传媒,2013-07-01,2017-12-11
SZ000157,中联重科,2005-04-08,
SZ000166,申万宏源,2015-01-26,
SZ000301,东方盛虹,2008-03-20,2010-07-01
SZ000301,东方盛虹,2021-12-10,
SZ000333,美的集团,2013-08-23,
SZ000338,潍柴动力,2008-01-01,
SZ000400,许继电气,2005-04-08,2008-06-14
SZ000400,许继电气,2013-12-16,2016-06-13
SZ000401,冀东水泥,2005-04-08,2015-06-15
SZ000402,金融街,2005-04-08,2019-12-16
SZ000406,石油大明,2005-04-08,2006-04-24
SZ000408,藏格矿业,2018-12-17,2019-12-16
SZ000408,藏格矿业,2022-06-10,
SZ000410,沈阳机床,2005-04-08,2008-12-25
SZ000413,东旭光电,2014-06-16,2020-06-15
SZ000415,渤海租赁,2015-12-14,2020-06-15
SZ000420,吉林化纤,2005-04-08,2006-01-01
SZ000422,湖北宜化,2006-01-01,2013-12-16
SZ000423,东阿阿胶,2005-04-08,2007-07-02
SZ000423,东阿阿胶,2008-01-01,2020-06-15
SZ000425,徐工科技,2005-04-08,
