symbol,name,opt-in,opt-out
AAL,American Airlines Group,2014-12-22,2020-04-20
AAPL,Apple Inc.,2006-01-01,
ABNB,"Airbnb, Inc. Class A",2021-12-20,
ADBE,Adobe Inc.,2006-01-01,
ADI,"Analog Devices, Inc.",2012-12-24,
ADP,"Automatic Data Processing, Inc.",2008-12-22,
ADSK,"Autodesk, Inc.",2006-01-01,
AEOS,American Eagle Outfitters,2006-01-01,2007-03-08
AEP,"American Electric Power Company, Inc.",2020-12-21,
AKAM,Akamai Technologies,2006-01-01,2009-12-21
AKAM,Akamai Technologies,2010-12-20,2017-12-18
ALGN,Align Technology,2017-10-23,2023-12-18
ALNY,"Alnylam Pharmaceuticals, Inc.",2025-12-22,
ALTR,Altera,2006-01-01,2015-10-07
ALXN,Alexion Pharmaceuticals,2011-04-04,2021-07-21
AMAT,"Applied Materials, Inc.",2006-01-01,
AMD,"Advanced Micro Devices, Inc.",2018-12-24,
AMGN,Amgen Inc.,2006-01-01,
AMLN,Amylin Pharmaceuticals,2006-01-01,2008-12-22
AMZN,"Amazon.com, Inc.",2006-01-01,
ANSS,Ansys,2019-12-23,2025-07-17
APCC,American Power Conversion,2006-01-01,2007-02-14
APOL,Apollo Group,2006-01-01,2012-12-24
APP,Applovin Corporation Class A,2024-11-18,
ARM,Arm Holdings plc American Depositary Shares,2024-06-24,
ASML,ASML Holding N.V. New York Registry Shares,2017-12-18,
ATVI,Activision Blizzard,2006-01-01,2023-07-17
AVGO,Broadcom Inc.,2011-12-19,
AXON,"Axon Enterprise, Inc.",2024-12-23,
AZN,AstraZeneca,2022-02-22,2026-01-20
BATRA,Liberty Media,2016-04-18,2016-06-20
BATRK,Liberty Media,2016-04-18,2016-06-20
BBBY,Bed Bath & Beyond,2006-01-01,2016-12-19
BEAS,BEA Systems,2006-01-01,2008-04-30
BIDU,"Baidu.com, Inc.",2007-12-04,2022-12-19
BIIB,Biogen,2006-01-01,2025-12-22
BKNG,Booking Holdings Inc.,2009-10-29,
BKR,Baker Hughes Company Class A,2022-12-19,
BMC,BMC Software,2009-12-21,2013-07-25
BMET,Biomet,2006-01-01,2007-07-12
BMRN,BioMarin Pharmaceutical,2015-07-27,2020-12-21
BRCM,Broadcom Corporation,2006-01-01,2015-11-11
CA,CA Technologies,2008-05-19,2018-11-05
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,2023-12-18,
CDNS,Cadence Design Systems,2006-01-01,2008-12-22
CDNS,"Cadence Design Systems, Inc.",2017-12-18,
CDW,CDW,2019-12-23,2021-12-20
CDW,CDW,2023-12-18,2025-12-22
CDWC,CDW Corporation,2006-01-01,2007-10-08
CEG,Constellation Energy Corporation,2022-02-02,
CELG,Celgene,2006-01-01,2019-11-21
CEPH,Cephalon,2007-06-01,2011-07-15
CERN,Cerner,2009-07-17,2021-12-20
CHKP,Check Point,2006-01-01,2021-12-20
CHRW,C. H. Robinson Worldwide,2006-01-01,2015-12-21
CHTR,"Charter Communications, Inc. Class A New",2013-07-25,
CKFR,CheckFree Corporation,2006-01-01,2007-12-04
CMCSA,Comcast Corporation Class A,2006-01-01,
CMCSK,Comcast Corporation Class A,2014-12-22,2015-12-15
CMVT,Comverse Technology,2006-01-01,2007-02-01
COST,Costco Wholesale Corporation,2006-01-01,
CPRT,"Copart, Inc. (DE)",2019-12-23,
CRWD,"CrowdStrike Holdings, Inc. Class A",2021-08-26,
CSCO,"Cisco Systems, Inc (DE)",2006-01-01,
CSGP,CoStar Group,2019-12-23,2020-07-20
CSGP,"CoStar Group, Inc.",2022-12-19,
CSX,CSX Corporation,2016-02-16,
