symbol,name,opt-in
SH600004,白云机场,2023-12-08
SH600007,中国国贸,2024-12-13
SH600008,首创环保,2007-01-15
SH600021,上海电力,2007-01-15
SH600032,浙江新能,2022-12-09
SH600038,中直股份,2007-01-15
SH600060,海信视像,2007-01-15
SH600062,华润双鹤,2007-01-15
SH600095,湘财股份,2021-06-11
SH600096,云天化,2022-06-10
SH600098,广州发展,2024-06-14
SH600109,国金证券,2022-06-10
SH600118,中国卫星,2021-12-10
SH600126,杭钢股份,2007-01-15
SH600131,国网信通,2007-01-15
SH600132,重庆啤酒,2024-12-13
SH600141,兴发集团,2007-01-15
SH600143,金发科技,2022-06-10
SH600153,建发股份,2007-01-15
SH600157,永泰能源,2021-12-10
SH600166,福田汽车,2007-01-15
SH600170,上海建工,2007-01-15
SH600171,上海贝岭,2025-06-13
SH600177,雅戈尔,2021-06-11
SH600208,衢州发展,2021-06-11
SH600282,南钢股份,2007-01-15
SH600295,鄂尔多斯,2024-12-13
SH600298,安琪酵母,2021-12-10
SH600299,安迪苏,2021-12-10
SH600312,平高电气,2024-12-13
SH600316,洪都航空,2007-01-15
SH600329,达仁堂,2010-01-04
SH600332,白云山,2025-12-12
SH600339,中油工程,2007-01-15
SH600348,华阳股份,2007-01-15
SH600352,浙江龙盛,2022-12-09
SH600363,联创光电,2025-06-13
SH600369,西南证券,2021-06-11
SH600378,昊华科技,2022-12-09
SH600380,健康元,2007-01-15
SH600390,五矿资本,2021-06-11
SH600392,盛和资源,2007-01-15
SH600398,海澜之家,2007-01-15
SH600435,北方导航,2009-06-15
SH600483,福能股份,2024-06-14
SH600486,扬农化工,2009-06-15
SH600487,亨通光电,2024-12-13
SH600497,驰宏锌锗,2007-01-15
SH600498,烽火通信,2021-06-11
SH600499,科达制造,2022-06-10
SH600511,国药股份,2007-01-15
SH600516,方大炭素,2009-07-01
SH600517,国网英大,2007-01-15
SH600521,华海药业,2021-12-10
SH600528,中铁工业,2007-01-15
SH600535,天士力,2007-01-15
SH600536,中国软件,2021-06-11
SH600546,山煤国际,2007-01-15
SH600549,厦门钨业,2007-01-15
SH600562,国睿科技,2025-06-13
SH600563,法拉电子,2007-01-15
SH600566,济川药业,2007-01-15
SH600578,京能电力,2024-06-14
SH600580,卧龙电驱,2007-01-15
SH600582,天地科技,2009-07-01
SH600583,海油工程,2023-12-08
SH600598,北大荒,2009-07-01
SH600601,方正科技,2025-12-12
SH600602,云赛智联,2025-12-12
SH600606,绿地控股,2024-12-13
SH600637,东方明珠,2021-06-11
SH600642,申能股份,2025-12-12
SH600655,豫园股份,2022-12-09
SH600663,陆家嘴,2021-06-11
SH600673,东阳光,2007-01-15
SH600685,中船防务,2024-12-13
SH600688,上海石化,2024-12-13
SH600699,均胜电子,2007-01-15
SH600704,物产中大,2007-01-15
SH600707,彩虹股份,2007-01-15
SH600720,中交设计,2024-12-13
SH600737,中粮糖业,2007-01-15
SH600739,辽宁成大,2007-01-15
SH600754,锦江酒店,2024-06-14
SH600763,通策医疗,2024-06-14
SH600764,中国海防,2021-03-15
SH600765,中航重机,2007-01-15
SH600801,华新建材,2007-01-15
SH600808,马钢股份,2007-01-15
SH600816,建元信托,2024-06-14
SH600820,隧道股份,2007-01-15
SH600848,上海临港,2022-06-10
SH600862,中航高科,2007-01-15
SH600863,华能蒙电,2007-01-15
SH600871,石化油服,2007-01-15
SH600873,梅花生物,2022-12-09
SH600879,航天电子,2007-01-15
SH600884,杉杉股份,2023-12-08
SH600885,宏发股份,2007-01-15
SH600901,江苏金租,2007-01-15
SH600906,财达证券,2021-12-10
SH600909,华安证券,2007-01-15
SH600927,永安期货,2022-06-10
SH600959,江苏有线,2007-01-15
SH600967,内蒙一机,2025-12-12
SH600968,海油发展,2007-01-15
SH600970,中材国际,2009-07-01
SH600977,中国电影,2023-12-08
SH600985,淮北矿业,2025-06-13
SH600988,赤峰黄金,2021-06-11
SH600995,南网储能,2023-06-09
SH600998,九州通,2021-06-11
SH601000,唐山港,2007-01-15
SH601001,晋控煤业,2024-12-13
SH601016,节能风电,2007-01-15
