symbol,name,opt-in
AAPL,Apple,2015-03-19
AMGN,Amgen,2020-08-31
AMZN,Amazon,2024-02-26
AXP,American Express,1982-08-30
BA,Boeing,1987-03-12
CAT,Caterpillar,1991-05-06
CRM,Salesforce,2020-08-31
CSCO,Cisco,2009-06-08
CVX,Chevron,2008-02-19
DIS,Disney,1991-05-06
GS,Goldman Sachs,2013-09-23
HD,Home Depot,1999-11-01
HON,Honeywell,2020-08-31
IBM,IBM,1979-06-29
JNJ,Johnson & Johnson,1997-03-17
JPM,JPMorgan Chase,1991-05-06
KO,Coca-Cola,1987-03-12
MCD,McDonald's,1985-10-30
MMM,3M,1976-08-09
MRK,Merck,1979-06-29
MSFT,Microsoft,1999-11-01
NKE,Nike,2013-09-23
NVDA,Nvidia,2024-11-08
PG,Procter & Gamble,1932-05-26
SHW,Sherwin-Williams,2024-11-08
TRV,"Travelers Companies, Inc.",2009-06-08
UNH,UnitedHealth Group,2012-09-24
V,Visa,2013-09-23
VZ,Verizon,2004-04-08
WMT,Walmart,1997-03-17
