symbol,name,opt-in
AAPL,Apple Inc. Common Stock,2006-01-01
ABNB,"Airbnb, Inc. Class A Common Stock",2021-12-20
ADBE,Adobe Inc. Common Stock,2006-01-01
ADI,"Analog Devices, Inc. Common Stock",2012-12-24
ADP,"Automatic Data Processing, Inc. Common Stock",2008-12-22
ADSK,"Autodesk, Inc. Common Stock",2006-01-01
AEP,"American Electric Power Company, Inc. Common Stock",2020-12-21
ALNY,"Alnylam Pharmaceuticals, Inc. Common Stock",2025-12-22
AMAT,"Applied Materials, Inc. Common Stock",2006-01-01
AMD,"Advanced Micro Devices, Inc. Common Stock",2018-12-24
AMGN,Amgen Inc. Common Stock,2006-01-01
AMZN,"Amazon.com, Inc. Common Stock",2006-01-01
APP,Applovin Corporation Class A Common Stock,2024-11-18
ARM,Arm Holdings plc American Depositary Shares,2024-06-24
ASML,ASML Holding N.V. New York Registry Shares,2017-12-18
AVGO,Broadcom Inc. Common Stock,2011-12-19
AXON,"Axon Enterprise, Inc. Common Stock",2024-12-23
BKNG,Booking Holdings Inc. Common Stock,2009-10-29
BKR,Baker Hughes Company Class A Common Stock,2022-12-19
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,2023-12-18
CDNS,"Cadence Design Systems, Inc. Common Stock",2017-12-18
CEG,Constellation Energy Corporation Common Stock,2022-02-02
CHTR,"Charter Communications, Inc. Class A Common Stock New",2013-07-25
CMCSA,Comcast Corporation Class A Common Stock,2006-01-01
COST,Costco Wholesale Corporation Common Stock,2006-01-01
CPRT,"Copart, Inc. (DE) Common Stock",2019-12-23
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",2021-08-26
CSCO,"Cisco Systems, Inc. Common Stock (DE)",2006-01-01
CSGP,"CoStar Group, Inc. Common Stock",2022-12-19
CSX,CSX Corporation Common Stock,2016-02-16
CTAS,Cintas Corporation Common Stock,2016-12-19
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,2006-01-01
DASH,"DoorDash, Inc. Class A Common Stock",2023-12-18
DDOG,"Datadog, Inc. Class A Common Stock",2021-12-20
DXCM,"DexCom, Inc. Common Stock",2020-04-20
EA,Electronic Arts Inc. Common Stock,2014-12-22
EXC,Exelon Corporation Common Stock,2019-11-21
FANG,"Diamondback Energy, Inc. Common Stock",2022-12-19
FAST,Fastenal Company Common Stock,2006-01-01
FER,Ferrovial SE Ordinary Shares,2025-12-22
FTNT,"Fortinet, Inc. Common Stock",2021-12-20
GEHC,GE HealthCare Technologies Inc. Common Stock,2023-06-07
GILD,"Gilead Sciences, Inc. Common Stock",2006-01-01
GOOG,Alphabet Inc. Class C Capital Stock,2014-04-03
GOOGL,Alphabet Inc. Class A Common Stock,2006-01-01
HON,Honeywell International Inc. Common Stock,2021-07-21
IDXX,"IDEXX Laboratories, Inc. Common Stock",2017-03-20
INSM,Insmed Incorporated Common Stock,2025-12-22
INTC,Intel Corporation Common Stock,2006-01-01
INTU,Intuit Inc. Common Stock,2006-01-01
ISRG,"Intuitive Surgical, Inc. Common Stock",2006-01-01
KDP,Keurig Dr Pepper Inc. Common Stock,2020-10-19
KHC,The Kraft Heinz Company Common Stock,2015-07-02
KLAC,KLA Corporation Common Stock,2016-12-19
LIN,Linde plc Ordinary Shares,2024-03-18
LRCX,Lam Research Corporation Common Stock,2014-12-22
MAR,Marriott International Class A Common Stock,2013-11-18
MCHP,Microchip Technology Incorporated Common Stock,2016-07-18
MDLZ,"Mondelez International, Inc. Class A Common Stock",2006-01-01
MELI,"MercadoLibre, Inc. Common Stock",2017-06-19
META,"Meta Platforms, Inc. Class A Common Stock",2012-12-12
MNST,Monster Beverage Corporation,2006-01-01
MPWR,"Monolithic Power Systems, Inc. Common Stock",2025-12-22
MRVL,"Marvell Technology, Inc. Common Stock",2020-12-21
MSFT,Microsoft Corporation Common Stock,2006-01-01
MSTR,Strategy Inc Common Stock Class A,2024-12-23
MU,"Micron Technology, Inc. Common Stock",2010-12-20
NFLX,"Netflix, Inc. Common Stock",2013-06-06
NVDA,NVIDIA Corporation Common Stock,2006-01-01
NXPI,NXP Semiconductors N.V. Common Stock,2018-11-05
ODFL,"Old Dominion Freight Line, Inc. Common Stock",2022-01-24
ORLY,"O'Reilly Automotive, Inc. Common Stock",2008-12-22
PANW,"Palo Alto Networks, Inc. Common Stock",2021-12-20
PAYX,"Paychex, Inc. Common Stock",2006-01-01
PCAR,PACCAR Inc. Common Stock,2006-01-01
PDD,PDD Holdings Inc. American Depositary Shares,2020-08-24
PEP,"PepsiCo, Inc. Common Stock",2018-07-23
PLTR,Palantir Technologies Inc. Class A Common Stock,2024-12-23
PYPL,"PayPal Holdings, Inc. Common Stock",2015-11-11
QCOM,QUALCOMM Incorporated Common Stock,2006-01-01
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",2012-12-24
ROP,"Roper Technologies, Inc. Common Stock",2023-12-18
ROST,"Ross Stores, Inc. Common Stock",2008-12-22
SBUX,Starbucks Corporation Common Stock,2006-01-01
SHOP,Shopify Inc. Class A Subordinate Voting Shares,2025-05-19
SNDK,Sandisk Corporation Common Stock,2026-04-20
SNPS,"Synopsys, Inc. Common Stock",2017-12-18
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),2025-12-22
TMUS,"T-Mobile US, Inc. Common Stock",2015-12-21
TRI,Thomson Reuters Corporation Common Shares,2025-07-28
TSLA,"Tesla, Inc. Common Stock",2013-07-15
TTWO,"Take-Two Interactive Software, Inc. Common Stock",2023-12-14
TXN,Texas Instruments Incorporated Common Stock,2012-04-23
VRSK,"Verisk Analytics, Inc. Common Stock",2012-12-24
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,2006-01-01
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock",2022-12-19
WDAY,"Workday, Inc. Class A Common Stock",2017-12-18
WDC,Western Digital Corporation Common Stock,2025-12-22
WMT,Walmart Inc. Common Stock,2026-01-20
XEL,Xcel Energy Inc. Common Stock,2018-11-19
ZS,"Zscaler, Inc. Common Stock",2021-12-20
